day,inside_mean,inside_median,inside_sem,inside_ci_lower_mean,inside_ci_upper_mean,inside_ci_lower_med,inside_ci_upper_med,outside_mean,outside_median,outside_sem,outside_ci_lower_mean,outside_ci_upper_mean,outside_ci_lower_med,outside_ci_upper_med,diff_mean,diff_median,diff_sem,diff_ci_lower_mean,diff_ci_upper_mean,diff_ci_lower_med,diff_ci_upper_med,hum_mean,hum_median,hum_sem,hum_ci_lower_mean,hum_ci_upper_mean,hum_ci_lower_med,hum_ci_upper_med,rock
35,20.875,20.75,0.23191139415052917,20.425,21.300625,20.25,21.75,20.975,21.0,0.21907400816306707,20.575,21.375,20.5,21.5,-0.1,0.0,0.08583950752789521,-0.25,0.075,-0.5,0.0,,,,,,,,11
0,16.770833333333332,13.0,1.449943516724297,13.979166666666666,19.5625,11.0,20.5,17.365666666666666,15.595500000000001,1.4197440275855133,14.82199583333333,20.054506249999996,11.089,22.601,-0.5948333333333332,0.4045000000000005,1.2540823217822519,-3.0950531249999993,1.4688895833333326,-0.0890000000000004,0.6666374999999952,59.85704166666667,56.1005,4.085741023150862,51.66236666666667,67.53989791666666,45.36,74.304,15
1,14.708333333333334,12.0,1.115160946768702,12.707291666666668,17.00208333333333,11.25,14.5,14.092708333333334,11.840499999999999,0.8553269280865793,12.54945625,15.886333333333333,11.089,14.594,0.615625,-0.08849999999999975,0.48399355761560076,-0.21779270833333342,1.5947406249999996,-0.5890000000000004,0.9100000000000001,83.74841666666667,86.399,3.4934817486225604,76.67507291666666,90.25733749999999,77.073,99.635,15
2,11.916666666666666,9.5,1.0536628084969415,9.9375,14.020833333333334,8.5,11.5,11.922583333333334,9.836500000000001,0.845837099120624,10.399583333333334,13.466976041666667,9.3355,11.59,-0.005916666666666644,-0.5850000000000009,0.42919730402814055,-0.7979718749999993,0.785217708333333,-0.5860000000000003,-0.0899999999999998,95.13045833333335,99.152,1.7718646241463618,91.397521875,98.004353125,94.2706875,101.067,15
3,9.666666666666666,9.0,0.5747295099973864,8.666145833333333,10.916666666666666,8.0,10.256249999999994,11.046625,10.588000000000001,0.6162422113818301,9.919666666666666,12.236685416666667,9.085,12.091,-1.3799583333333334,-0.5815000000000001,0.43133135014762036,-2.276847916666666,-0.629363541666667,-1.1050124999999946,-0.0850000000000008,92.38399999999997,100.114,2.894415770440369,86.65678333333332,97.80959479166667,91.8845,101.067,15
4,7.604166666666667,6.75,0.8242141440875725,6.0,9.104687499999999,5.0,9.0,8.416500000000001,7.582000000000001,0.7686284863313356,6.871186458333334,9.898422916666668,5.578,11.088999999999999,-0.8123333333333335,-0.0880000000000005,0.4780489964377806,-1.773297916666666,-0.019144791666666796,-0.5759999999999996,0.407,83.34345833333333,82.9525,3.6803868012983223,76.17828854166667,90.50418749999999,68.709,100.125625,15
5,7.3125,6.5,0.6585643283975235,6.124479166666667,8.500520833333333,5.0,9.5,8.144958333333333,6.58,0.823779588061713,6.579457291666667,9.878016666666666,5.076,10.588,-0.8324583333333333,-0.0739999999999998,0.497265886868743,-1.9166187499999994,0.08537500000000005,-0.5750000000000002,0.42200000000000015,79.378,72.3735,3.161757608342715,73.340128125,85.49148749999999,68.709,88.3055,15
6,9.0625,7.0,1.0158670976781006,7.124479166666667,11.001041666666666,5.493750000000006,10.5,10.586208333333333,9.085,1.165586746532678,8.310267708333335,12.819552083333335,6.3294999999999995,14.594000000000001,-1.5237083333333334,-0.07749999999999965,0.822557776216584,-3.2156854166666666,-0.10563854166666747,-0.5874124999999946,0.17101250000000026,83.09029166666666,91.7595,4.223595861554005,74.97862395833332,90.81551666666667,68.709,100.591,15
7,12.1875,10.0,1.1763877481757328,9.999479166666667,14.417187499999999,8.0,16.25,13.798458333333334,11.5895,1.5047303937568124,10.898211458333336,16.656990625,8.083,17.097,-1.6109583333333335,-0.07949999999999985,1.1771636408092794,-4.136077083333333,0.47463749999999943,-0.5904999999999996,1.4029999999999987,76.62529166666667,83.2445,5.1306215395574535,66.53954479166667,86.10312916666668,62.357,98.19,15
8,11.5,9.0,1.098417834492155,9.541145833333333,13.833333333333334,8.0,11.25,11.505125,10.087,0.9084946126847282,9.794454166666666,13.237066666666667,8.584,12.091,-0.005124999999999935,-0.0830000000000001,0.29674892593788754,-0.5881687500000002,0.5768072916666668,-0.5819999999999999,0.4060000000000006,73.40754166666666,74.875,3.2014712616319003,67.172603125,79.117496875,68.709,84.045,15
